"21","1013  LAWSONS RIDGE DR, NASHVILLE, TN, 37218","Match","Exact","1013 LAWSONS RIDGE DR, NASHVILLE, TN, 37218","-86.86162,36.22016","648685235","L","47","037","010105","2015"
"22","2052  CAREFREE LN, ANTIOCH, TN, 37013","No_Match"
"23","2048  CAREFREE LN, ANTIOCH, TN, 37013","No_Match"
"24","28  WHITE BRIDGE PIKE  207, NASHVILLE, TN, 37205","Match","Exact","28 WHITE BRIDGE PIKE, NASHVILLE, TN, 37205","-86.851036,36.127457","635466172","R","47","037","018102","2000"
"25","6046  BLACKBERRY RIDGE LN, HERMITAGE, TN, 37076","No_Match"
"26","4928  CHUTNEY DR, ANTIOCH, TN, 37013","No_Match"
"27","2706B2  BARCLAY DR, NASHVILLE, TN, 37206","Match","Exact","2706 BARCLAY DR, NASHVILLE, TN, 37206","-86.72161,36.1719","97194873","R","47","037","011600","5013"
"28","4034  SADDLECREEK WAY, ANTIOCH, TN, 37013","No_Match"
"29","1328  TREE HOUSE DR, ANTIOCH, TN, 37013","No_Match"
"250","1124C  OLD HICKORY BLVD, MADISON, TN, 37115","No_Match"
"130","700  INSPIRATION BLVD, MADISON, TN, 37115","No_Match"
"251","26  WHITE BRIDGE PIKE, NASHVILLE, TN, 37205","Match","Exact","26 WHITE BRIDGE PIKE, NASHVILLE, TN, 37205","-86.8508,36.127323","635466172","R","47","037","018102","2000"
"131","320  HIDDEN SPRINGS CV, NASHVILLE, TN, 37207","No_Match"
"252","3796  BEDFORD AVE  UPPER LEVE, NASHVILLE, TN, 37215","No_Match"
"132","529  SARVER AVE, MADISON, TN, 37115","No_Match"
"253","2100  CAREFREE LN, ANTIOCH, TN, 37013","No_Match"
"133","5216  LAKE MAXWELL DR, ANTIOCH, TN, 37013","No_Match"
"254","1013  LAWSONS RIDGE DR, NASHVILLE, TN, 37218","Match","Exact","1013 LAWSONS RIDGE DR, NASHVILLE, TN, 37218","-86.86162,36.22016","648685235","L","47","037","010105","2015"
"134","24  WHITE BRIDGE PIKE, NASHVILLE, TN, 37205","Match","Exact","24 WHITE BRIDGE PIKE, NASHVILLE, TN, 37205","-86.85057,36.12719","635466172","R","47","037","018102","2000"
"255","0  CAROTHERS RD, NOLENSVILLE, TN, 37135","No_Match"
"135","1653  ALAYNA DR, NASHVILLE, TN, 37221","No_Match"
"256","1224  SUMMER SHADE DR, ANTIOCH, TN, 37013","No_Match"
"136","0  CENTENNIAL BLVD, NASHVILLE, TN, 37209","No_Match"
"257","2508  SOLOMON LN, NASHVILLE, TN, 37207","No_Match"
"137","5069  BROADWAY PL, NASHVILLE, TN, 37203","No_Match"
"258","2275  MURFREESBORO PIKE  200, ANTIOCH, TN, 37013","No_Match"
"138","710  INSPIRATION BLVD, MADISON, TN, 37115","No_Match"
"259","9424  KAPLAN AVE, BRENTWOOD, TN, 37027","No_Match"
"139","7117  SILVERWOOD TRL, HERMITAGE, TN, 37076","No_Match"
"30","4937  CHUTNEY DR, ANTIOCH, TN, 37013","No_Match"
"31","5056  SUNFLOWER LN, HERMITAGE, TN, 37076","No_Match"
"32","2161  BAYPORT AVE, OLD HICKORY, TN, 37138","No_Match"
"33","2184  CAREFREE LN, ANTIOCH, TN, 37013","No_Match"
"34","2050  VILLAGE PARK CIR, OLD HICKORY, TN, 37138","No_Match"
"35","2047  VILLAGE PARK CIR, OLD HICKORY, TN, 37138","No_Match"
"36","2049  VILLAGE PARK CIR, OLD HICKORY, TN, 37138","No_Match"
"37","4303  STONE HALL BLVD, HERMITAGE, TN, 37076","No_Match"
"38","732  INSPIRATION BLVD  2, MADISON, TN, 37115","No_Match"
"39","900  FANCHER LN, JOELTON, TN, 37080","No_Match"
"260","1320  GREENSTONE LN, NASHVILLE, TN, 37221","No_Match"
"140","4917  CHUTNEY DR, ANTIOCH, TN, 37013","No_Match"
"261","4049  LIBERTON WAY, NOLENSVILLE, TN, 37135","Match","Exact","4049 LIBERTON WAY, NOLENSVILLE, TN, 37135","-86.66143,35.985332","648257532","L","47","037","019114","1072"
"141","859  BLOOMDALE TRCE, HERMITAGE, TN, 37076","No_Match"
"262","1516  DAVIDGE DR, NASHVILLE, TN, 37221","No_Match"
"142","706  INSPIRATION BLVD, MADISON, TN, 37115","No_Match"
"263","1021  TREVINO PL, ANTIOCH, TN, 37013","No_Match"
"143","1238  SHIRE DR, ANTIOCH, TN, 37013","No_Match"
